,Titulo,objetivo
24,The Runner,"MovieNicolasCage,SarahPaulson,ConnieNielsen,WendellPierce,BryanBatt,PeterFonda,DanaGourrierAustinStarkUnitedStatesDramas,IndependentMovies90minDramas,IndependentMoviesSepSepRFriday"
25,6 Years,"MovieTaissaFarmiga,BenRosenfield,LindsayBurdge,JoshuaLeonard,JenniferLafleur,PeterVack,DanaWheeler-Nicholson,JasonNewman,MollyMcMichaelHannahFidellUnitedStatesDramas,IndependentMovies,RomanticMovies80minDramas,IndependentMovies,RomanticMoviesSepSepNRTuesday"
26,Castle of Stars,"TV ShowChaiyapolPupart,JintanutdaLummakanon,WorrawechDanuwong,OrnjiraLamwilai,YongArmchair,KeeratiMahapreukpong,AkaratNimitchai,KornpassornDuaysianklao,NattapongChartpongDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,RomanticTVShows,TVComedies1SeasonInternationalTVShows,RomanticTVShows,TVComediesSepSepTV-14Friday"
27,City of Joy,"MovieElencoDesconhecidoMadeleineGavinUnitedStates,Documentaries77minDocumentariesSepSepTV-MAFriday"
28,First and Last,TV ShowElencoDesconhecidoDiretorDesconhecidoPaisDesconhecidoDocuseries1SeasonDocuseriesSepSepTV-MAFriday
29,Laddaland,"MovieSaharatSangkapreecha,PokPiyatidaWoramusik,SutattaUdomsilp,AthipichChutiwatkajornchai,DeuntemSalitul,SahajakBoonthanakitSoponSukdapisitThailandHorrorMovies,InternationalMovies112minHorrorMovies,InternationalMoviesSepSepTV-MAFriday"
30,Next Gen,"MovieJohnKrasinski,CharlyneYi,JasonSudeikis,MichaelPeña,DavidCross,ConstanceWuKevinR.Adams,JoeKsanderChina,Canada,UnitedStatesChildren&FamilyMovies,Comedies,Sci-Fi&Fantasy106minChildren&FamilyMovies,Comedies,Sci-Fi&FantasySepSepTV-PGFriday"
31,Sierra Burgess Is A Loser,"MovieShannonPurser,KristineFroseth,RJCyler,NoahCentineo,LorettaDevine,GiorgiaWhigham,AliceLee,LeaThompson,AlanRuck,MaryPatGleason,ChrissyMetzIanSamuelsUnitedStatesComedies,RomanticMovies106minComedies,RomanticMoviesSepSepPG-13Friday"
32,The Most Assassinated Woman in the World,"MovieAnnaMouglalis,NielsSchneider,AndréWilms,MichelFau,SissiDuparc,Jean-MichelBalthazar,JulieRecoing,EricGodon,MayaColine,ConstanceDolléFranckRibièreBelgium,UnitedKingdom,UnitedStatesDramas,InternationalMovies,Thrillers102minDramas,InternationalMovies,ThrillersSepSepTV-MAFriday"
33,Cézanne et moi,"MovieGuillaumeCanet,GuillaumeGallienne,AlicePol,DéborahFrançois,SabineAzéma,FreyaMavor,IsabelleCandelier,LaurentStockerDanieleThompsonBelgium,FranceDramas,IndependentMovies,InternationalMovies114minDramas,IndependentMovies,InternationalMoviesSepSepRThursday"
