,Titulo,objetivo
925,Barbie in Rock 'N Royals,"MovieKellySheridan,ChiaraZanni,BethanyBrown,DevynDalton,MichaelDobson,BrynnaDrummond,RachelHarrison,AlessandroJuliani,PeterKelamis,OmariNewton,IngridNilson,NicoleOliver,ShaunSmyth,KiraTozerKarenJ.LloydUnitedStatesChildren&FamilyMovies83minChildren&FamilyMoviesOctOctTV-YSunday"
926,Barbie Star Light Adventure,"MovieEricaLindbeck,RobbieDaymond,KimberlyWoods,SarahAnneWilliams,MichaelChandler,DwightSchultz,BenBledsoe,JonathanLipow,LucienDodge,LauraPostAndrewTan,MichaelGoguenUnitedStatesChildren&FamilyMovies79minChildren&FamilyMoviesOctOctTV-YSunday"
927,Barbie: A Fairy Secret,"MovieDianaKaarina,AdrianPetriw,BrittIrvin,CassandraMorris,KateHiggins,SilvioPollio,BrittneyWilson,AlexandraCarter,NicoleOliver,BarbaraTysonWilliamLauUnitedStatesChildren&FamilyMovies72minChildren&FamilyMoviesOctOctTV-Y7Sunday"
928,Barbie: Princess Charm School,"MovieDianaKaarina,MorwennaBanks,NicoleOliver,BrittneyWilson,AliLiebert,ShannonChan-Kent,MadeleinePeters,CathyWeseluck,EllenKennedy,VincentTong,DerekWaters,BrianDrummond,TabithaSt.Germain,BethanyBrown,MirandaNolte,KellyMetzger,KazumiEvans,AnnaCummerEzekielNortonUnitedStates,CanadaChildren&FamilyMovies80minChildren&FamilyMoviesOctOctTV-YSunday"
929,Barbie: Spy Squad,"MovieEricaLindbeck,StephanieSheh,JennyPellicer,AlyssyaSwales,ElizabethIrving,BrianDobson,RebeccaHusain,CathyWeseluckConradHeltenUnitedStates,CanadaChildren&FamilyMovies75minChildren&FamilyMoviesOctOctTV-YSunday"
930,Barbie: The Princess & the Popstar,"MovieKellySheridan,JenniferWaris,AshleighBall,TiffanyKathryn,EllieKing,PeterKelamis,JonathanHolmes,AllisonWarnyca,ChristopherGaze,LaurenLavoieEzekielNortonUnitedStatesChildren&FamilyMovies75minChildren&FamilyMoviesOctOctTV-YSunday"
931,Barbie: Video Game Hero,"MovieEricaLindbeck,SiennaBohn,ShannonChan-Kent,MichaelDobson,AlyssyaSwales,RebekahAsselstine,BradSwaile,SamVincent,IngridNilson,NestaCooperConradHelten,EzekielNorton,MichaelGoguenUnitedStatesChildren&FamilyMovies72minChildren&FamilyMoviesOctOctTV-YSunday"
932,Beyblade Burst,"TV ShowMarinaInoue,JunyaEnoki,FumihiroOkabayashi,TsubasaYonaga,AyahiTakagaki,YuKobayashiDiretorDesconhecidoJapanAnimeSeries,Kids'TV1SeasonAnimeSeries,Kids'TVOctOctTV-Y7Sunday"
933,Boy and the World,"MovieViníciusGarcia,FelipeZilse,AlêAbreu,LuHorta,MarcoAurélioCampos,CassiusRomero,AlfredoRolloAlêAbreuBrazilChildren&FamilyMovies80minChildren&FamilyMoviesOctOctPGSunday"
934,City in the Sky,"TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedKingdomBritishTVShows,Docuseries,Science&NatureTV1SeasonBritishTVShows,Docuseries,Science&NatureTVOctOctTV-PGSunday"
935,Equestria Girls: Tales of Canterlot High,"TV ShowTaraStrong,AshleighBall,AndreaLibman,TabithaSt.Germain,CathyWeseluck,RebeccaShoichet,AndrewToth,AliLiebertDiretorDesconhecidoUnitedStates,CanadaKids'TV,TVComedies1SeasonKids'TV,TVComediesOctOctTV-YSunday"
936,Food: Delicious Science,"TV ShowMichaelMosley,JamesWongDiretorDesconhecidoPaisDesconhecidoDocuseries,Science&NatureTV1SeasonDocuseries,Science&NatureTVOctOctTV-PGSunday"
937,For Your Own Good,"MovieJoseCoronado,JavierCámara,RobertoÁlamo,PilarCastro,MaríaPujalte,CarmenRuiz,SilviaAlonso,GeorginaAmorós,AndreaRos,MikiEsparbéCarlosTherónSpainComedies,InternationalMovies93minComedies,InternationalMoviesOctOctTV-MASunday"
938,Franca: Chaos and Creation,"MovieElencoDesconhecidoFrancescoCarrozziniUnitedStates,ItalyDocumentaries,InternationalMovies79minDocumentaries,InternationalMoviesOctOctTV-MASunday"
939,Frances Ha,"MovieGretaGerwig,MickeySumner,Charlotted'Amboise,AdamDriver,HannahDunne,MichaelEsper,GraceGummer,PatrickHeusinger,JoshHamilton,CindyKatz,MayaKazan,JustineLupe,BrittaPhillips,JulietRylance,DeanWareham,MichaelZegenNoahBaumbachUnitedStates,BrazilComedies,Dramas,IndependentMovies86minComedies,Dramas,IndependentMoviesOctOctRSunday"
940,Generation Iron 2,"MovieElencoDesconhecidoVladYudinUnitedStatesDocumentaries,SportsMovies107minDocumentaries,SportsMoviesOctOctPG-13Sunday"
941,Ghost Patrol,"MovieScottMcNeil,VincentTong,TravisTurner,ShannonChan-Kent,LiliBeaudoinKarenJ.LloydCanadaChildren&FamilyMovies,Comedies47minChildren&FamilyMovies,ComediesOctOctTV-Y7-FVSunday"
942,Great Yellowstone Thaw,"TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedKingdomDocuseries,Science&NatureTV1SeasonDocuseries,Science&NatureTVOctOctTV-PGSunday"
943,I Am Bolt,"MovieUsainBoltBenjaminTurner,GabeTurnerUnitedKingdomDocumentaries,SportsMovies107minDocumentaries,SportsMoviesOctOctPGSunday"
944,I'm in Love with a Church Girl,"MovieJaRule,AdrienneBailon,StephenBaldwin,VincentPastore,MichaelMadsen,T-Bone,MartinKove,TobyMacSteveRaceUnitedStatesDramas,Faith&Spirituality,RomanticMovies119minDramas,Faith&Spirituality,RomanticMoviesOctOctPGSunday"
945,Ice Guardians,"MovieDaveBrown,BrettHull,RobRay,JaromeIginla,WendelClark,ScottParker,Daveschultz,JayBaruchelBrettHarveyCanada,Ireland,UnitedStatesDocumentaries,InternationalMovies,SportsMovies108minDocumentaries,InternationalMovies,SportsMoviesOctOctTV-MASunday"
946,Justice in the City,"TV ShowChrisTong,ShaunChen,EmilyLim,RemusKam,ZhangShuiFaDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,TVDramas1SeasonInternationalTVShows,TVDramasOctOctTV-14Sunday"
947,Kahlil Gibran's The Prophet,"MovieLiamNeeson,SalmaHayek,JohnKrasinski,FrankLangella,AlfredMolina,JohnRhys-Davies,QuvenzhanéWallisRogerAllers,GaëtanBrizzi,PaulBrizzi,JoanC.Gratz,MohammedSaeedHarib,TommMoore,NinaPaley,BillPlympton,JoannSfar,MichaelSochaUnitedStates,France,Canada,Lebanon,QatarChildren&FamilyMovies,Dramas85minChildren&FamilyMovies,DramasOctOctPGSunday"
948,Miss Hokusai,"MovieAnneWatanabe,YutakaMatsushige,GakuHamada,KengoKora,JunMiho,ShionShimizu,MichitakaTsutsui,EthanMurray,KevinT.Collins,BarbaraGoodson,CindyRobinson,MikePollock,RobbieDaymond,MarcDiraison,RichardEpcar,EricaLindbeckKeiichiHaraJapanAnimeFeatures90minAnimeFeaturesOctOctPG-13Sunday"
949,Monster High: Great Scarrier Reef,"MovieLarissaGalagher,KateHiggins,DebiDerryberry,SalliSaffioti,AmericaYoung,EvanSmith,LyndsyKail,RachelStaman,CheramiLeigh,PaulaRhodes,ErinFitzgeraldWilliamLauUnitedStatesChildren&FamilyMovies72minChildren&FamilyMoviesOctOctTV-Y7Sunday"
950,Monster High: New Ghoul at School,"MovieKateHiggins,SalliSaffioti,DebiDerryberry,LauraBailey,YuriLowenthal,AuduPaden,TroyBaker,ErinFitzgeraldAuduPaden,EricRadomskiUnitedStatesChildren&FamilyMovies23minChildren&FamilyMoviesOctOctTV-Y7Sunday"
951,My Life as a Zucchini,"MovieGaspardSchlatter,SixtineMurat,PaulinJaccoud,MichelVuillermoz,RaulRibera,EstelleHennard,ElliotSanchez,LouWick,BrigitteRosset,NatachaKoutchoumov,MonicaBudde,AdrienBarazzone,WillForte,NickOfferman,EllenPage,AmySedarisClaudeBarrasSwitzerland,FranceComedies,Dramas,InternationalMovies68minComedies,Dramas,InternationalMoviesOctOctPG-13Sunday"
952,Nature's Great Race,"TV ShowLizBonninDiretorDesconhecidoUnitedKingdomBritishTVShows,Docuseries,Science&NatureTV1SeasonBritishTVShows,Docuseries,Science&NatureTVOctOctTV-PGSunday"
953,Phantom Boy,"MovieMarcusD'Angelo,VincentD'Onofrio,FredArmisen,JaredPadalecki,JoeyCamen,BrianT.Delaney,MelissaDisney,BillLobley,AmandaCélineMiller,DanaSnyder,StephanieShehJean-LoupFelicioli,AlainGagnolFrance,BelgiumAction&Adventure,Dramas,InternationalMovies85minAction&Adventure,Dramas,InternationalMoviesOctOctPGSunday"
954,PJ Masks,"TV ShowJacobEwaniuk,KyleBreitkopf,AddisonHolleyDiretorDesconhecidoFrance,UnitedKingdomKids'TV1SeasonKids'TVOctOctTV-YSunday"
955,Sudden,"TV ShowRuiEn,RomeoTan,RebeccaLim,ZhangZhenhuanDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,RomanticTVShows,TVDramas1SeasonInternationalTVShows,RomanticTVShows,TVDramasOctOctTV-14Sunday"
956,The Code,"TV ShowDanSpielman,AshleyZukerman,AdelePerovic,AdamGarcia,ChelsiePrestonCrayford,PaulTassone,DanWyllie,LucyLawless,AdenYoung,DavidWenhamDiretorDesconhecidoAustraliaCrimeTVShows,InternationalTVShows,TVDramas1SeasonCrimeTVShows,InternationalTVShows,TVDramasOctOctTV-MASunday"
957,The Dream Catchers,"TV ShowRuiEn,TayPingHui,JessecaLiu,ShaunChen,ElvinNg,NatHo,DawnYeoh,PaigeChua,ZhangZhenhuanDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,RomanticTVShows,TVDramas1SeasonInternationalTVShows,RomanticTVShows,TVDramasOctOctTV-14Sunday"
958,The Free Man,"MovieJossiWellsToaFraserNewZealandDocumentaries,SportsMovies84minDocumentaries,SportsMoviesOctOctTV-PGSunday"
959,The Lion Woman,"MovieRolfLassgård,KjerstiTveterås,RolfKristianLarsen,OleJohanSkjelbred-Knutsen,Karen-LiseMynster,IdaUrsin-Holm,LisaLovenKongsli,ConnieNielsen,HenrikMestad,KåreConradi,MathildeThomineStormVibekeIdsøeNorway,GermanyDramas,InternationalMovies118minDramas,InternationalMoviesOctOctTV-PGSunday"
960,The President's Barber,"MovieKang-hoSong,So-riMoon,Jae-eungLee,Yeong-jinJo,Byung-hoSon,Yong-soopark,Seung-sooRyu,Ju-sangYun,Gyu-suJeong,Dal-suOhChan-sangLimSouthKoreaComedies,Dramas,InternationalMovies116minComedies,Dramas,InternationalMoviesOctOctTV-MASunday"
961,Tokyo Idols,"MovieElencoDesconhecidoKyokoMiyakeUnitedKingdom,Canada,JapanDocumentaries,InternationalMovies,Music&Musicals89minDocumentaries,InternationalMovies,Music&MusicalsOctOctTV-14Sunday"
962,Verónica,"MovieArceliaRamírez,OlgaSegura,SofíaGarzaCarlosAlgara,AlejandroMartinez-BeltranMexicoDramas,IndependentMovies,InternationalMovies81minDramas,IndependentMovies,InternationalMoviesOctOctTV-MASunday"
963,Welcome to Monster High: The Origin Story,"MovieDebiDerryberry,CassandraMorris,SalliSaffioti,LarissaGallagher,CristinaMilizia,MichaelSorich,JonquilGoode,TravisDresden,EvanSmithStephenDonnelly,OllyReid,JunFalkensteinUnitedStatesChildren&FamilyMovies73minChildren&FamilyMoviesOctOctTV-Y7Sunday"
964,What She Put on the Table,"TV ShowAmberAn,SunKe-fang,ChangYao-jen,WangMan-chiao,HansChung,ChrisLee,YanYu-lin,KikiChen,StevenChiangDiretorDesconhecidoTaiwanInternationalTVShows,TVDramas1SeasonInternationalTVShows,TVDramasOctOctTV-PGSunday"
965,Wrong Side Raju,"MoviePratikGandhi,KimberleyLouisaMcBeath,AsifBasra,KaviShastri,HetalPuniwala,RagiJani,MakarandShukla,AlokGagdekar,JayeshMore,SiddharthRanderia,KennethDesaiMikhilMusaleIndiaDramas,InternationalMovies140minDramas,InternationalMoviesOctOctTV-MASunday"
966,Be with Me,"TV ShowJasonTsou,QueenWei,RiverHuang,FabienYang,TangChen-Kang,FigaroTsengDiretorDesconhecidoTaiwanInternationalTVShows,RomanticTVShows,TVDramas1SeasonInternationalTVShows,RomanticTVShows,TVDramasOctOctTV-14Saturday"
967,Be with You,"TV ShowBobbyDou,PeijiaHuang,NylonChen,ViviLee,EdisonWang,SerenaFangDiretorDesconhecidoTaiwanInternationalTVShows,RomanticTVShows,TVDramas1SeasonInternationalTVShows,RomanticTVShows,TVDramasOctOctTV-14Saturday"
968,Bombshell,"MovieAndeCunningham,MarkMitchinson,MiaPistorius,NathalieBoltt,NathanLovejoy,ColinMoy,JaySimon,CoenFalke,GretaGregory,ByronCollRiccardoPilizzeriPaisDesconhecidoDramas86minDramasOctOctTV-MASaturday"
969,Chatô: The King of Brazil,"MovieMarcoRicca,AndreaBeltrão,LetíciaSabatella,LeandraLeal,GabrielBragaNunes,PauloBetti,MarcosOliveira,ElianeGiardiniGuilhermeFontesBrazilDramas,InternationalMovies105minDramas,InternationalMoviesOctOctNRSaturday"
970,Chewin' the Fat,"TV ShowFordKiernan,GregHemphill,KarenDunbar,MarkCox,PaulRileyDiretorDesconhecidoUnitedKingdomBritishTVShows,TVComedies1SeasonBritishTVShows,TVComediesOctOctTV-14Saturday"
971,Fall in Love with Me,"TV ShowAaronYan,TiaLee,JackLee,KatherineWang,BeatriceFang,VinceKao,ChenBorJengDiretorDesconhecidoTaiwanInternationalTVShows,RomanticTVShows,TVComedies1SeasonInternationalTVShows,RomanticTVShows,TVComediesOctOctTV-14Saturday"
972,Harud,"MovieMohammadAmirNaji,ShahnawazBhat,ShamimBasharat,SalmaAshai,MudessirAhmedKhan,RayesMohiuddinAamirBashirIndiaDramas,InternationalMovies100minDramas,InternationalMoviesOctOctTV-14Saturday"
973,Love Cheque Charge,"TV ShowGeorgeHu,PhoebeYuan,HsiehKunDa,JayShih,SmileWeng,JetChao,JessieChangDiretorDesconhecidoTaiwanInternationalTVShows,RomanticTVShows,TVComedies1SeasonInternationalTVShows,RomanticTVShows,TVComediesOctOctTV-14Saturday"
974,Masha's Spooky Stories,"TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedStates,RussiaKids'TV1SeasonKids'TVOctOctTV-YSaturday"
975,Much Ado About Nothing,"MovieAgustínSilva,PaulinaGarcía,DanielAlcaíno,AlejandroGoic,LuisGnecco,SamuelLandea,DindiJane,IsabellaCosta,AugustoSchuster,PilarRonderosAlejandroFernándezAlmendrasChile,UnitedStates,FranceDramas,IndependentMovies,InternationalMovies96minDramas,IndependentMovies,InternationalMoviesOctOctNRSaturday"
976,Murphy's Law of Love,"TV ShowDansonTang,Chia-yingLee,JolinChien,JennaWang,Meng-shengShen,Wen-linFang,WeiLin,PhoebeHuangDiretorDesconhecidoTaiwanInternationalTVShows,RomanticTVShows,TVComedies1SeasonInternationalTVShows,RomanticTVShows,TVComediesOctOctTV-14Saturday"
977,My Big Night,"MovieRaphael,MarioCasas,PepónNieto,BlancaSuárez,HugoSilva,CarmenMachi,LuisCallejo,CarlosAreces,EnriqueVillén,SantiagoSegura,JaimeOrdoñez,TomásPozzi,CarolinaBang,AnaPolvorosa,LuisFernándezÁlexdelaIglesiaSpainComedies,InternationalMovies97minComedies,InternationalMoviesOctOctTV-MASaturday"
978,My Little Pony Equestria Girls: Legend of Everfree,"MovieTaraStrong,RebeccaShoichet,AshleighBall,AndreaLibman,TabithaSt.Germain,CathyWeseluck,Enid-RayeAdams,BrianDoe,NicoleOliverIshiRudellUnitedStates,CanadaChildren&FamilyMovies,Comedies73minChildren&FamilyMovies,ComediesOctOctTV-Y7Saturday"
979,Old Money,"TV ShowUdoKier,SunnyiMelles,NicholasOfczarek,ManuelRubey,NoravonWaldstätten,ThomasStipsits,UrsulaStrauss,RobertPalfrader,SimonSchwarz,JohannesKrisch,LukasMikoDavidSchalkoUnitedStatesInternationalTVShows,TVComedies,TVDramas1SeasonInternationalTVShows,TVComedies,TVDramasOctOctTV-14Saturday"
980,Pac's Scary Halloween,"MovieErinMathews,SamVincent,AndreaLibman,AshleighBall,IanJamesCorlett,BrianDrummond,LeeTockar,MattHillDiretorDesconhecidoPaisDesconhecidoMovies44minMoviesOctOctTV-Y7Saturday"
981,Riphagen - The Untouchable,"MovieJeroenvanKoningsbrugge,AnnaRaadsveld,SigridtenNapel,PeterBlok,BobStoop,LisaZweerman,KayGreidanus,RenéKortekaas,SiegerSloot,MarkRietmanPieterKuijpersNetherlandsDramas,InternationalMovies132minDramas,InternationalMoviesOctOctNRSaturday"
982,Robotech,"TV ShowJean-ClaudeBallard,GregorySnegoff,CamClarke,MelissaNewman,TonyOliver,LarryAbraham,RobertAxelrod,RobertV.BarronDiretorDesconhecidoUnitedStates,JapanAnimeSeries1SeasonAnimeSeriesOctOctTV-MASaturday"
983,Someone Like You,"TV ShowKingoneWang,LoreneRen,SeanLee,NitaLei,WilliamLiaoDiretorDesconhecidoTaiwanInternationalTVShows,RomanticTVShows,TVDramas1SeasonInternationalTVShows,RomanticTVShows,TVDramasOctOctTV-14Saturday"
984,Umrika,"MovieSurajSharma,TonyRevolori,SmitaTambe,AdilHussain,RajeshTailang,PrateikBabbar,PramodPathak,AmitSial,SauraseniMaitraPrashantNairIndiaDramas,IndependentMovies,InternationalMovies96minDramas,IndependentMovies,InternationalMoviesOctOctTV-14Saturday"
985,Unchained: The Untold Story of Freestyle Motocross,"MovieJoshBrolinPaulTaublieb,JonFreemanUnitedStatesDocumentaries,SportsMovies92minDocumentaries,SportsMoviesOctOctNRSaturday"
986,Welcome Mr. President,"MovieClaudioBisio,KasiaSmutniak,BeppeFiorello,RemoGirone,MassimoPopolizio,CesareBocci,OmeroAntonutti,MicheleAlhaique,FrancoRavera,PatrizioRispo,PieraDegliEsposti,GianniCavinaRiccardoMilaniItalyComedies,InternationalMovies99minComedies,InternationalMoviesOctOctTV-14Saturday"
987,When I See You Again,"TV ShowJasperLiu,MandyWei,JetChao,IvyShao,TinaChou,KaoMeng-ChiehDiretorDesconhecidoTaiwanInternationalTVShows,RomanticTVShows,TVComedies1SeasonInternationalTVShows,RomanticTVShows,TVComediesOctOctTV-14Saturday"
988,Wakfu: The Quest for the Six Eliatrope Dofus,"TV ShowFannyBloc,JulesDeJongh,PatrickBéthune,HugoChandor,AdelineChetail,JessicaBell,ThomasGuitard,RossGrant,GenevièveDoangDiretorDesconhecidoFranceKids'TV1SeasonKids'TVOctOctTV-Y7-FVThursday"
989,A Stoning in Fulham County,"MovieKenOlin,JillEikenberry,MaureenMueller,GreggHenry,NicholasPryor,NobleWillingham,PeterMichaelGoetz,RonPerlman,TheodoreBikel,OliviaBurnette,BillAllen,BradPittLarryElikannUnitedStatesDramas95minDramasOctOctNRSaturday"
990,Adam: His Song Continues,"MovieDanielJ.Travanti,JoBethWilliams,RichardMasur,MarthaScott,PaulReginaRobertMarkowitzUnitedStatesDramas96minDramasOctOctNRSaturday"
991,Hard Lessons,"MovieDenzelWashington,LynnWhitfield,RichardMasur,AkosuaBusiaEricLaneuvilleUnitedStatesDramas94minDramasOctOctNRSaturday"
992,In Defense of a Married Man,"MovieJudithLight,MichaelOntkean,JerryOrbach,PatCorley,NicholasCampbell,JohnColicos,CynthiaSikes,JohnnyGaleckiJoelOlianskyUnitedStatesDramas94minDramasOctOctNRSaturday"
993,Quiet Victory: The Charlie Wedemeyer Story,"MoviePamDawber,MichaelNouri,BessMeyer,PeterBerg,JamesHandy,KyleChandlerRoyCampanellaIIUnitedStatesDramas,SportsMovies93minDramas,SportsMoviesOctOctTV-PGSaturday"
994,Strange Voices,"MovieNancyMcKeon,ValerieHarper,StephenMacht,TriciaLeighFisher,MilliePerkinsArthurAllanSeidelmanUnitedStatesDramas96minDramasOctOctNRSaturday"
995,The Ryan White Story,"MovieJudithLight,LukasHaas,MichaelBowen,NikkiCox,GeorgeDzundza,ValerieLandsburg,SarahJessicaParker,MitchellRyanJohnHerzfeldUnitedStatesDramas94minDramasOctOctTV-PGSaturday"
996,Too Young the Hero,"MovieRickySchroder,JonDeVries,DebraMooney,Mary-LouiseParker,ChristopherCurry,RickWarner,TomWoodBuzzKulikUnitedStatesDramas94minDramasOctOctNRSaturday"
997,Triumph of the Heart,"MovieMarioVanPeebles,SusanRuttan,LaneR.Davis,LynnWhitfield,AdamFaraizl,PollyHolliday,JayPennison,JohnSchuhmacherRichardMichaelsUnitedStatesDramas,SportsMovies93minDramas,SportsMoviesOctOctTV-PGSaturday"
998,Unspeakable Acts,"MovieJillClayburgh,BradDavis,SamBehrensLindaOttoUnitedStatesDramas95minDramasOctOctNRSaturday"
999,Victim of Beauty,"MovieWilliamDevane,JeriRyan,MicheleAbrams,NickSearcy,LindaPierce,J.DonFerguson,ButchSlade,JoyceBowden-KirbyRogerYoungUnitedStatesDramas,Thrillers93minDramas,ThrillersOctOctNRSaturday"
1000,"All's Well, End's Well (2009)","MovieLouisKoo,SandraNgKwanYue,RaymondWong,RonaldCheng,YaoChen,GuoTao,HeungKamLee,ChunChauHa,MikiShumVincentKokHongKongComedies,InternationalMovies,RomanticMovies99minComedies,InternationalMovies,RomanticMoviesNovNovTV-14Friday"
1001,Gabriel and the Mountain,"MovieJoãoPedroZappa,CarolineAbras,AlexAlembe,LeonardSiampala,TonyB.Lesika,JohnGoodluck,RashidiAthuman,ToneyMontana,GeorgeNgandu,RhosinahSekeleti,LukeMpata,LewisGadson,ManuelaPacqFellipeBarbosaBrazil,FranceDramas,IndependentMovies,InternationalMovies132minDramas,IndependentMovies,InternationalMoviesNovNovTV-MAFriday"
1002,Lommbock,"MovieLucasGregorowicz,MoritzBleibtreu,LouisHofmann,WotanWilkeMöhring,AlexandraNeldel,MelanieWinigir,MavieHörbiger,DarSalim,ElmarWepper,AntoineMonotJr.ChristianZübertGermanyComedies,InternationalMovies106minComedies,InternationalMoviesNovNovTV-MAFriday"
1003,Love O2O,"TV ShowShuangZheng,YangYang,RachelMomo,BaiYu,ZhengYecheng,ZhangHeDiretorDesconhecidoChinaInternationalTVShows,RomanticTVShows,TVDramas1SeasonInternationalTVShows,RomanticTVShows,TVDramasNovNovTV-PGFriday"
1004,Medal of Honor,"TV ShowOliverHudson,BenSchwartz,PaulWesley,AldisHodge,JonnyWeston,JosephCross,JakeAbel,DerekMioDiretorDesconhecidoUnitedStatesDocuseries,TVDramas1SeasonDocuseries,TVDramasNovNovTV-MAFriday"
1005,Outlaw King,"MovieChrisPine,AaronTaylor-Johnson,FlorencePugh,BillyHowle,SamSpruell,TonyCurran,CallanMulvey,JamesCosmo,StephenDillaneDavidMackenzieUnitedKingdom,UnitedStatesAction&Adventure,Dramas122minAction&Adventure,DramasNovNovRFriday"
1006,Super Drags,"TV ShowFernandoMendonça,SérgioCantú,WagnerFollare,PablloVittar,SilvettyMontilla,RaphaVélez,SylviaSalustti,GuilhermeBriggsDiretorDesconhecidoBrazilInternationalTVShows,TVComedies1SeasonInternationalTVShows,TVComediesNovNovTV-MAFriday"
1007,The Queen of Flow,"TV ShowCarolinaRamírez,CarlosTorres,AndrésSandoval,AdrianaArango,MabelMoreno,LuisAlfredoVelasco,PachoRueda,DianaWiswell,MarianaGarzón,Kiño,SebastiánSilva,MarianaGómez,MaríaJoséVargas,GuillermoBlanco,JuanManuelRestrepo,AlejandroOtero,DavidOjalvoDiretorDesconhecidoColombiaCrimeTVShows,InternationalTVShows,Spanish-LanguageTVShows1SeasonCrimeTVShows,InternationalTVShows,Spanish-LanguageTVShowsNovNovTV-14Friday"
1008,Westside,TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedStatesRealityTV1SeasonRealityTVNovNovTV-MAFriday
1009,Case,"TV ShowSteinunnÓlínaÞorsteinsdóttir,MagnúsJónsson,ÞorsteinnBachmann,JóhannaVigdísArnardóttir,BirnaRúnEiríksdóttir,ElmaStefaniaAgustsdottir,BergurÞórIngólfsson,HalldóraGeirharðsdóttir,ArnarJónsson,DavíðFreyrÞórunnarson,BjörnStefánsson,NínaDöggFilippusdóttir,HjorturJóhannJónssonDiretorDesconhecidoIcelandCrimeTVShows,InternationalTVShows,TVDramas1SeasonCrimeTVShows,InternationalTVShows,TVDramasNovNovTV-MAWednesday"
1010,Greatest Events of WWII in Colour,"TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedKingdomBritishTVShows,Docuseries,InternationalTVShows1SeasonBritishTVShows,Docuseries,InternationalTVShowsNovNovTV-14Friday"
1011,Green Eggs and Ham,"TV ShowMichaelDouglas,AdamDevine,Keegan-MichaelKey,EddieIzzard,JillianBell,IlanaGlazer,DianeKeaton,JeffreyWright,JohnTurturro,TracyMorgan,DaveedDiggsDiretorDesconhecidoUnitedStates,UnitedKingdom,CanadaKids'TV,TVAction&Adventure,TVComedies1SeasonKids'TV,TVAction&Adventure,TVComediesNovNovTV-Y7Friday"
1012,Hit & Run,"MovieKristenBell,DaxShepard,KristinChenoweth,TomArnold,BradleyCooper,JessRowland,RyanHansen,BeauBridges,MichaelRosenbaum,DavidKoechner,JoyBryantDavidPalmer,DaxShepardUnitedStatesAction&Adventure,Comedies,RomanticMovies100minAction&Adventure,Comedies,RomanticMoviesNovNovRFriday"
1013,Let It Snow,"MovieIsabelaMoner,ShameikMoore,KiernanShipka,OdeyaRush,LivHewson,MitchellHope,JacobBatalon,JoanCusack,MatthewNoszka,AnnaAkana,MilesRobbins,D'ArcyCarden,MasonGooding,AndreaDeOliveira,VictorRiversLukeSnellinUnitedStatesComedies,Dramas,LGBTQMovies93minComedies,Dramas,LGBTQMoviesNovNovPG-13Friday"
1014,Paradise Beach,"MovieSamiBouajila,TewfikJallab,MélanieDoutey,HugoBecker,KoolShen,HubertKoundé,SethGueko,SoniaCouling,ChaladNaSongkhla,FloreBonaventura,Nessbeal,DorianN'GoumouditDosseh,Hache-PXavierDurringerFranceAction&Adventure,Dramas,InternationalMovies94minAction&Adventure,Dramas,InternationalMoviesNovNovTV-MAFriday"
1015,Hope Springs Eternal,"MovieMiaRoseFrampton,BethLacke,StonyBlyden,JulietteAngelo,LaurenGiraldo,BeauBrooks,PejVahdatJackC.NewellUnitedStatesDramas79minDramasNovNovPGThursday"
1016,The Desert Bride,"MoviePaulinaGarcía,ClaudioRissiCeciliaAtán,ValeriaPivatoArgentina,ChileDramas,InternationalMovies78minDramas,InternationalMoviesNovNovTV-14Thursday"
1017,The Sea of Trees,"MovieMatthewMcConaughey,NaomiWatts,KenWatanabe,KatieAselton,JordanGavarisGusVanSantUnitedStatesDramas111minDramasNovNovPG-13Thursday"
1018,Transfers,"TV ShowAriehWorthalter,BruneRenault,ToinetteLaquiere,SteveTientcheu,PiliGroyne,PatrickDescamps,PatrickRaynal,JuliettePlumecocq-Mech,SébastienChassagne,AlexisLoret,AissatouDiopDiretorDesconhecidoFrance,BelgiumCrimeTVShows,InternationalTVShows,TVSci-Fi&Fantasy1SeasonCrimeTVShows,InternationalTVShows,TVSci-Fi&FantasyNovNovTV-MAThursday"
1019,Yes or No 2,"MovieSupanartJittaleela,SusharManaying,NisaBoonsantear,ApitthaKhlaiudom,ApapattraMeesangSaratswadeeWongsomphetThailandInternationalMovies,LGBTQMovies,RomanticMovies112minInternationalMovies,LGBTQMovies,RomanticMoviesNovNovTV-PGThursday"
1020,Yes or No 2.5,"MovieSupanartJittaleela,PimpakanBangchawong,ChansakornKittiwattanakorn,SunantaYoonniyomKiratiNakintanonThailandInternationalMovies,LGBTQMovies,RomanticMovies107minInternationalMovies,LGBTQMovies,RomanticMoviesNovNovTV-PGThursday"
1021,My Way,"MovieSilvioBerlusconi,AlanFriedmanAntongiulioPanizziItalyDocumentaries,InternationalMovies101minDocumentaries,InternationalMoviesNovNovTV-14Tuesday"
